Section,Checklist Item,Description,적용,구현 위치,비고
회원가입 및 프로필 관리,서버측 입력 검증,"사용자명(username)와 비밀번호(password)에 대해 길이, 허용 문자 집합, 형식 등 서버측 검증 수행. XSS 공격 방지를 위해 입력값 필터링 및 인코딩 적용 여부 확인",O,security.py validate_username/validate_password,"화이트리스트 정규식 ^[A-Za-z0-9_]{3,20}$ 적용. 비밀번호 8~72바이트. XSS는 입력 필터링이 아니라 출력 이스케이프로 방어(Jinja2 autoescape)"
,CSRF 보호,"회원가입, 로그인, 프로필 수정 등 모든 폼에 대해 CSRF 토큰 사용 여부를 확인하여 요청 위조 공격 방지",O,app.py CSRFProtect(app),"베이스 코드는 토큰이 전혀 없었음. 앱 전역 적용 + 모든 폼에 csrf_token() 삽입. 토큰 없는 POST가 400 반환하는 것을 테스트로 확인"
,비밀번호 보안,"비밀번호를 평문으로 저장하지 않고 bcrypt, Argon2 등 강력한 해시 알고리즘과 고유 salt를 적용하여 암호화 저장하는지 확인",O,security.py hash_password/verify_password,"베이스 코드는 평문 저장. bcrypt + 자동 salt로 교체. DB 컬럼도 password -> password_hash"
,세션 쿠키 설정,"세션 쿠키에 HttpOnly 및 HTTPS 환경에서 Secure 플래그가 적용되어 있는지 확인",O,app.py app.config.update,"HttpOnly=True, SameSite=Lax 적용. Secure는 HTTPS_ONLY 환경변수로 제어(로컬 HTTP에서 켜면 로그인 불가)"
,세션 만료 및 재인증,"일정 시간 이후 세션 만료 및 민감 작업 시 재인증 로직이 구현되어 있는지 확인",O,app.py PERMANENT_SESSION_LIFETIME / change_password,"세션 2시간 만료. 비밀번호 변경 시 현재 비밀번호 재확인. 로그인 시 session.clear()로 세션 고정 방어"
,실패 로그인 방어,"로그인 실패 횟수에 따른 계정 잠금 혹은 지연(time-out) 메커니즘 적용 여부 확인",O,app.py login + Flask-Limiter,"5회 실패 시 15분 계정 잠금 + IP 기준 10회/분 rate limit 이중 적용"
,오류 메시지,"오류 발생 시 내부 정보(스택 트레이스, DB 정보 등)가 노출되지 않도록 처리되어 있는지 확인",O,app.py errorhandler + templates/error.html,"베이스 코드는 debug=True로 Werkzeug 디버거(RCE 가능) 노출. debug 기본값 False + 공통 에러 페이지"
,사용자 열거 방지,"존재하지 않는 계정과 존재하는 계정의 응답이 내용·시간 면에서 구분되지 않는지 확인",O,security.py dummy_verify / app.py login,"실패 메시지 통일 + 없는 계정에도 더미 bcrypt 검증을 수행해 응답 시간 차이 제거"
상품 등록 및 관리,폼 입력 검증,"상품 제목, 설명, 가격 등의 입력 필드에 대해 서버측 검증 및 필수 항목 체크 여부 확인. 가격은 숫자 형식 및 범위 검증 적용",O,security.py validate_text/validate_positive_int,"베이스 코드는 price가 TEXT 컬럼이라 음수/문자열이 그대로 저장됨. INTEGER + 1~1억 범위 검증 + DB CHECK 제약"
,XSS 방어,"사용자 입력(상품 설명 등)에 대해 HTML 태그 및 스크립트 코드 이스케이프 또는 필터링 적용 여부 확인",O,templates/*.html (Jinja2 autoescape),"|safe 사용 금지. 입력 단계 sanitize 대신 출력 단계 이스케이프. JS는 textContent 사용(innerHTML 금지)"
,인증된 사용자만 등록,"상품 등록, 수정, 삭제 기능이 로그인한 사용자에게만 허용되도록 접근 제어가 구현되어 있는지 확인",O,security.py login_required,"차단/휴면 계정은 기존 세션도 즉시 무효화"
,소유자 확인,"상품 수정 및 삭제 시, 요청한 사용자가 해당 상품의 소유자인지 검증하는 로직이 구현되어 있는지 확인",O,security.py owner_required_product,"IDOR 방어. 타인 상품 수정 시 403 반환을 테스트로 확인. 관리자는 예외 통과"
,데이터 무결성,"데이터베이스에 저장되기 전 모든 필수 항목 및 형식이 올바른지 검증하는 로직이 있는지 확인",O,schema.sql CHECK 제약 + security.py,"애플리케이션 검증 + DB CHECK 제약 이중 방어. 앱 검증이 뚫려도 DB가 마지막 방어선"
,상태 변경은 POST로,"삭제 등 부작용이 있는 작업이 GET으로 노출되어 링크 클릭만으로 실행되지 않는지 확인",O,app.py delete_product (methods=['POST']),"GET 삭제는 <img src> 한 줄로 트리거됨"
